SERMON_SLUG,CITATION,WEATHER_PHENOMENON
1556_Rörer,Hiob 37,"Donner, Blitz"
1556_Rörer,Hiob 37,Donner
1556_Rörer,Hiob 1,Wind
1556_Rörer,Dtn 18,
1556_Rörer,Hiob 38,Blitz
1556_Rörer,Klgl 3,
1556_Rörer,Ex 9,"Donner, Blitz, Hagel"
1556_Rörer,Ex 20,
1556_Rörer,Mt 22,
1556_Rörer,Hiob 36,Blitz
1556_Rörer,Ps 5,
1556_Rörer,Ex 9,"Hagel, Regen"
1556_Rörer,Dtn 28,Dürre
1556_Rörer,Amos 4,"Regen, Dürre"
1556_Rörer,Hag 1,"Tau, Dürre"
1556_Rörer,Mi 6,
1556_Rörer,Ps 50,
1556_Rörer,Joh 16,
1556_Rörer,Joh 9,
1556_Rörer,Lev 26,Regen
1556_Rörer,Dtn 28,Regen
1556_Rörer,Jer 18,
1556_Rörer,Mal 3,Regen
1556_Rörer,Sir 40,"Hagel, Feuer, Flut"
1562_Alber,Jes 26,
1562_Alber,Jer 17,
1562_Alber,Ex 20,
1562_Alber,Jes 45,
1562_Alber,Klag 3,
1562_Alber,Am 3,
1562_Alber,Lev 26,
1562_Alber,Dtn 28,
1562_Alber,Ps 18,"Donner, Hagel, Blitze"
1562_Alber,Ps 148,"Feuer, Hagel, Schnee, Sturmwind"
1562_Alber,Hiob 38,"Schnee, Hagel"
1562_Alber,Sir 40,"Feuer, Hagel"
1562_Alber,Ex 9,"Donner, Hagel, Feuer"
1562_Alber,Ps 78,"Hagel, Schlossen"
1562_Alber,Jos 10,Hagel
1562_Alber,Hag 2,"Dürre, Hagel"
1562_Alber,Joh 5,
1562_Alber,Mt 10,
1562_Alber,Ps 104,"Wind, Feuer"
1562_Alber,Hebr 1,Feuer
1562_Alber,Ps 78,
1562_Alber,Eph 2,
1562_Alber,Hiob 38,
1562_Alber,Num 23,
1562_Alber,Hiob 1,
1562_Alber,1 Kön 22,
1562_Alber,Mt 8,
1562_Alber,Lk 22,
1562_Alber,Ex 22,
1562_Alber,Lev 20,
1562_Alber,Mt 13,
1562_Alber,Koh 7,
1562_Alber,Jer 30,
1562_Alber,Hag 1,"Tau, Dürre"
1562_Alber,Mal 3,
1562_Alber,Am 4,Regen
1562_Alber,Lev 19,
1562_Alber,Dtn 18,
1562_Alber,Jes 8,
1562_Alber,1 Sam 28,
1562_Alber,Mi 7,
1562_Alber,Hab 3,
1562_Alber,Ez 33,
1562_Alber,Röm 8,
1562_Alber,Röm 8,
1571_Lavater,2. Chr 6,Regenmangel
1571_Lavater,Lev 26,
1571_Lavater,Lev 26,Dürre
1571_Lavater,Lev 26,
1571_Lavater,Dtn 28,
1571_Lavater,Dtn 28,"Staubregen, Asche"
1571_Lavater,Dtn 28,
1571_Lavater,Dtn 11,"Regen, Flusswasser"
1571_Lavater,Amos 4,
1571_Lavater,Amos 4,Regenmangel
1571_Lavater,Gen 41,
1571_Lavater,2. Kön 8,
1571_Lavater,Apg 11,
1571_Lavater,Lev 23,
1571_Lavater,1. Tim 4,
1571_Lavater,Ps 105,
1571_Lavater,Röm 4,
1571_Lavater,1. Kor 3,
1571_Lavater,Hes 36,
1571_Lavater,Ps 116,
1571_Lavater,Ex 10,
1571_Lavater,Joel 1,
1571_Lavater,Joel 2,
1571_Lavater,Mt 8,
1571_Lavater,Hiob 1,Windsturm
1571_Lavater,Ri 15,
1571_Lavater,2. Kön 18,
1571_Lavater,Dtn 8,
1571_Lavater,Hiob 37,"Schnee, Regen"
1571_Lavater,Ps 147,"Wolken, Regen, Frost, Schnee"
1571_Lavater,Ps 148,"Wind, Ungewitter, Hagel, Schnee"
1571_Lavater,Jer 14,Regen
1571_Lavater,Mt 10,
1571_Lavater,Klgl 4,
1571_Lavater,Spr 30,
1571_Lavater,Gen 47,
1571_Lavater,Neh 5,
1571_Lavater,2. Kön 6,
1571_Lavater,1. Kön 18,Dürre
1571_Lavater,Dtn 32,
1571_Lavater,Jes 3,
1571_Lavater,Jer 5,
1571_Lavater,Hes 4,
1571_Lavater,Hes 5,
1571_Lavater,Hes 7,
1571_Lavater,Hes 14,
1571_Lavater,Hos 4,
1571_Lavater,Jer 11,
1571_Lavater,Jer 42,
1571_Lavater,Hag 1,"Taumangel, Dürre"
1571_Lavater,Jes 5,
1571_Lavater,Mic 6,
1571_Lavater,Joel 1,
1571_Lavater,Lk 15,
1571_Lavater,Jak 4,
1571_Lavater,Jak 5,
1571_Lavater,Mt 25,
1571_Lavater,Jos 7,
1571_Lavater,Mt 24,
1599_Fabricius,Röm 11,
1599_Fabricius,Mt 25,
1599_Fabricius,Lk 19,
1599_Fabricius,Röm 11,
1599_Fabricius,Ps 2,
1599_Fabricius,Ps 45,
1599_Fabricius,Mt 16,
1599_Fabricius,Apg 4,
1599_Fabricius,1 Kor 3,
1599_Fabricius,Lk 1,
1599_Fabricius,Lk 18,
1599_Fabricius,Ps 50,
1599_Fabricius,Ps 91,
1599_Fabricius,Jes 63,
1599_Fabricius,Jes 44,"Wolken, Nebel"
1599_Fabricius,Mt 28,
1599_Fabricius,1 Petr 5,
1599_Fabricius,Joh 10,
1599_Fabricius,Ps 121,
1599_Fabricius,Lk 10,
1599_Fabricius,1 Sam 2,
1599_Fabricius,Spr 8,
1599_Fabricius,Mt 23,
1599_Fabricius,Mt 6,
1599_Fabricius,Ps 11,
1599_Fabricius,Spr 15,
1599_Fabricius,Ps 5,
1599_Fabricius,Ex 20,
1599_Fabricius,Mt 10,
1599_Fabricius,2 Kor 9,
1599_Fabricius,Ps 112,
1599_Fabricius,Jes 1,
1599_Fabricius,Klgl 3,
1599_Fabricius,Röm 10,
1599_Fabricius,Joh 17,
1599_Fabricius,Kol 3,
1599_Fabricius,Sir 10,
1599_Fabricius,Sir 1,
1599_Fabricius,Spr 28,
1599_Fabricius,Phil 2,
1599_Fabricius,Ez 16,
1599_Fabricius,Lk 3,
1616_Titius,Ps 18,"Donner, Hagel, Blitze, Wind"
1616_Titius,Mt 25,
1616_Titius,Spr 25,
1616_Titius,Hiob 1,"Feuer, Sturmwind"
1616_Titius,Ps 78,
1616_Titius,Ex 8,
1616_Titius,Mt 8,
1616_Titius,Ex 22,
1616_Titius,Lev 20,
1616_Titius,Joh 9,
1616_Titius,Jak 5,
1616_Titius,Mt 8,"Sturm, Wirbelwind"
1639_Reinhold,Hiob 37,Donner
1639_Reinhold,Jer 2,
1639_Reinhold,Hos 4,
1639_Reinhold,Ez 5,
1639_Reinhold,Mi 6,
1639_Reinhold,Mt 11,
1639_Reinhold,Mk 16,
1639_Reinhold,Jes 51,
1639_Reinhold,Ps 76,
1639_Reinhold,Jes 50,Dürre
1639_Reinhold,Ps 18,"Donner, Wind"
1639_Reinhold,2 Sam 22,"Donner, Sturm"
1639_Reinhold,Hab 2,
1639_Reinhold,Ps 29,Donner
1639_Reinhold,Ps 18,Donner
1639_Reinhold,Hiob 40,Donner
1639_Reinhold,Hiob 26,Donner
1639_Reinhold,Ps 68,Donner
1639_Reinhold,Ex 9,"Donner, Hagel"
1639_Reinhold,Jer 10,"Blitz, Regen, Wind"
1639_Reinhold,Jer 51,Wind
1639_Reinhold,Am 9,Flut
1639_Reinhold,Ps 147,Hagel
1639_Reinhold,Hiob 36,Regen
1639_Reinhold,Ps 19,
1639_Reinhold,Ps 148,"Hagel, Schnee, Sturmwind"
1639_Reinhold,Ps 104,Donner
1639_Reinhold,1 Sam 7,Donner
1639_Reinhold,Ps 105,"Hagel, Regen, Feuer"
1639_Reinhold,Weish 5,Hagel
1639_Reinhold,Ps 77,"Regen, Donner, Blitz"
1639_Reinhold,Nah 1,"Wetter, Sturm"
1639_Reinhold,1 Sam 12,"Donner, Regen"
1639_Reinhold,Lk 21,Donner
1639_Reinhold,2 Petr 3,"Feuer, Hitze"
1639_Reinhold,Spr 1,"Sturm, Wetter"
1639_Reinhold,Jer 25,"Donner, Wetter"
1639_Reinhold,Joel 2,"Donner, Feuer"
1639_Reinhold,Dtn 32,Blitz
1639_Reinhold,Jes 28,"Hagelsturm, Wetter"
1639_Reinhold,Zeph 1,"Wetter, Ungestüm"
1639_Reinhold,Ez 13,"Windwirbel, Platzregen, Hagel"
1639_Reinhold,Jos 10,Hagel
1639_Reinhold,Ps 32,
1639_Reinhold,Jes 14,Wolken
1639_Reinhold,Jes 24,"Flut, Erdbeben"
1639_Reinhold,Ps 11,"Blitz, Feuer, Schwefel"
1639_Reinhold,Jes 29,"Wetter, Erdbeben, Donner"
1639_Reinhold,Mk 3,Donner
1639_Reinhold,Ps 144,Blitz
1639_Reinhold,Offb 16,"Donner, Blitz"
1639_Reinhold,Jes 30,"Feuer, Regen, Hagel"
1639_Reinhold,Sir 4,
1639_Reinhold,Ps 95,
1639_Reinhold,Jes 55,
1639_Reinhold,Jes 1,
1658_Tappe,2 Sam 1,
1658_Tappe,1 Sam 3,
1658_Tappe,2 Kön 21,
1658_Tappe,Sir 25,
1658_Tappe,Ps 90,
1658_Tappe,Pred 9,
1658_Tappe,Jak 4,
1658_Tappe,Weish 9,
1658_Tappe,Ps 146,
1658_Tappe,Spr 16,
1658_Tappe,Pred 1,
1658_Tappe,Weish 3,
1658_Tappe,Ps 31,
1658_Tappe,Pred 3,
1658_Tappe,Hiob 14,
1658_Tappe,2 Sam 7,
1658_Tappe,Mt 26,
1658_Tappe,Pred 9,
1658_Tappe,Jer 10,
1658_Tappe,Jes 38,
1658_Tappe,Jer 8,
1658_Tappe,Jes 28,
1658_Tappe,Lk 12,
1658_Tappe,Hebr 9,
1658_Tappe,Pred 11,
1658_Tappe,Lk 7,
1658_Tappe,Ri 16,
1658_Tappe,2 Sam 18,
1658_Tappe,Lk 16,
1658_Tappe,Mk 13,
1658_Tappe,Mt 24,
1658_Tappe,Mt 26,
1658_Tappe,Phil 2,
1658_Tappe,Ps 39,
1658_Tappe,Ps 90,
1658_Tappe,Gen 1,
1658_Tappe,Eph 5,
1658_Tappe,Sir 41,
1658_Tappe,1 Kön 19,
1658_Tappe,Lk 2,
1658_Tappe,Phil 1,
1658_Tappe,Röm 6,
1658_Tappe,Weish 2,
1658_Tappe,Jes 38,
1658_Tappe,Eph 6,
1658_Tappe,Pred 12,
1658_Tappe,Gen 11,
1658_Tappe,Ps 73,
1658_Tappe,Pred 8,
1658_Tappe,Ps 11,"Blitz, Feuer, Schwefel"
1658_Tappe,Ps 5,
1658_Tappe,Gen 19,"Feuer, Schwefel"
1658_Tappe,Num 26,
1658_Tappe,1 Sam 4,
1658_Tappe,Hiob 1,"Blitz, Feuer"
1658_Tappe,Jes 45,
1658_Tappe,Weish 9,
1658_Tappe,Mt 10,
1658_Tappe,Sir 11,
1658_Tappe,Joh 9,
1658_Tappe,Jer 30,
1658_Tappe,Joh 8,
1658_Tappe,Lk 23,
1658_Tappe,Röm 14,
1658_Tappe,1 Kor 10,
1658_Tappe,Lk 13,
1658_Tappe,Mt 7,
1658_Tappe,Sir 38,
1658_Tappe,Pred 7,
1658_Tappe,Ps 39,
1658_Tappe,Pred 8,
1658_Tappe,Hiob 1,Windsturm
1658_Tappe,Gen 35,
1658_Tappe,1 Kön 13,
1658_Tappe,1 Sam 6,
1658_Tappe,2 Sam 24,
1658_Tappe,1 Tim 2,
1658_Tappe,2 Sam 18,
1658_Tappe,Eph 4,
1658_Tappe,Ps 91,
1658_Tappe,Röm 8,
1658_Tappe,Weish 3,
1658_Tappe,Jes 57,
1658_Tappe,Ps 4,
1658_Tappe,Joh 1,
